"query","superkingdom","kingdom","subkingdom","phylum","subphylum","class","subclass","superorder","order","suborder","family","subfamily","tribe","subtribe","genus","species"
"OTU00276","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","","","","","","","","","","",""
"OTU00277","","","","","","","","","","","","","","","",""
"OTU00278","","","","","","","","","","","","","","","",""
"OTU00279","","","","","","","","","","","","","","","",""
"OTU00280","","","","","","","","","","","","","","","",""
"OTU00281","","","","","","","","","","","","","","","",""
"OTU00282","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00283","","","","","","","","","","","","","","","",""
"OTU00284","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00285","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00286","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00287","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00288","","","","","","","","","","","","","","","",""
"OTU00289","","","","","","","","","","","","","","","",""
"OTU00290","","","","","","","","","","","","","","","",""
"OTU00291","","","","","","","","","","","","","","","",""
"OTU00292","","","","","","","","","","","","","","","",""
"OTU00293","","","","","","","","","","","","","","","",""
"OTU00294","","","","","","","","","","","","","","","",""
"OTU00295","","","","","","","","","","","","","","","",""
"OTU00296","","","","","","","","","","","","","","","",""
"OTU00297","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00298","","","","","","","","","","","","","","","",""
"OTU00299","","","","","","","","","","","","","","","",""
"OTU00300","","","","","","","","","","","","","","","",""
"OTU00301","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Sordariomycetes","Hypocreomycetidae","","Hypocreales","","Nectriaceae","","","","Fusarium",""
"OTU00302","","","","","","","","","","","","","","","",""
"OTU00303","Eukaryota","Fungi","Dikarya","Ascomycota","Pezizomycotina","Dothideomycetes","Pleosporomycetidae","","Pleosporales","","","","","","",""
"OTU00304","Eukaryota","","","Cercozoa","","","","","Cercomonadida","","Cercomonadidae","","","","Paracercomonas",""
"OTU00305","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00306","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00307","","","","","","","","","","","","","","","",""
"OTU00308","Eukaryota","","","","","","","","","","","","","","",""
"OTU00309","","","","","","","","","","","","","","","",""
"OTU00310","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00311","","","","","","","","","","","","","","","",""
"OTU00312","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00313","Eukaryota","","","","","Synurophyceae","","","Synurales","","Mallomonadaceae","","","","",""
"OTU00314","","","","","","","","","","","","","","","",""
"OTU00315","","","","","","","","","","","","","","","",""
"OTU00316","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00317","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Tremellomycetes","","","Filobasidiales","","Piskurozymaceae","","","","Solicoccozyma","Solicoccozyma terricola"
"OTU00318","Eukaryota","Fungi","Dikarya","Basidiomycota","Ustilaginomycotina","Ustilaginomycetes","","","Ustilaginales","","Ustilaginaceae","","","","Moesziomyces",""
"OTU00319","","","","","","","","","","","","","","","",""
"OTU00320","","","","","","","","","","","","","","","",""
"OTU00321","","","","","","","","","","","","","","","",""
"OTU00322","","","","","","","","","","","","","","","",""
"OTU00323","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis","Zygophlyctis sp."
"OTU00324","","","","","","","","","","","","","","","",""
"OTU00325","","","","","","","","","","","","","","","",""
"OTU00326","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Tremellomycetes","","","Tremellales","","Bulleribasidiaceae","","","","",""
"OTU00327","","","","","","","","","","","","","","","",""
"OTU00328","","","","","","","","","","","","","","","",""
"OTU00329","","","","","","","","","","","","","","","",""
"OTU00330","","","","","","","","","","","","","","","",""
"OTU00331","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Chytridiales","","","","","","","Chytridiales sp."
"OTU00332","","","","","","","","","","","","","","","",""
"OTU00333","","","","","","","","","","","","","","","",""
"OTU00334","","","","","","","","","","","","","","","",""
"OTU00335","","","","","","","","","","","","","","","",""
"OTU00336","Eukaryota","Fungi","","Chytridiomycota","","Chytridiomycetes","","","Zygophlyctidales","","Zygophlyctidaceae","","","","Zygophlyctis",""
"OTU00337","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00338","","","","","","","","","","","","","","","",""
"OTU00339","","","","","","","","","","","","","","","",""
"OTU00340","","","","","","","","","","","","","","","",""
"OTU00341","","","","","","","","","","","","","","","",""
"OTU00342","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00343","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00344","Eukaryota","Fungi","","","","","","","","","","","","","","fungal sp."
"OTU00345","Eukaryota","Fungi","","","","","","","","","","","","","",""
"OTU00346","Eukaryota","Fungi","Dikarya","Basidiomycota","Agaricomycotina","Agaricomycetes","","","Polyporales","","Irpicaceae","","","","Irpex",""
"OTU00347","Eukaryota","Fungi","","","","","","","","","","","","","",""
